Wilayah,Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota,,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SUMATERA BARAT (Provinsi),5.53,5.27,5.3,5.14,5.01,-1.61,3.29,4.36,4.62,4.37,3.37
Kepulauan Mentawai,5.2,5.02,5.12,4.89,4.73,-1.85,2.87,4.94,4.04,3.97,2.93
Pesisir Selatan,5.73,5.33,5.41,5.32,4.78,-1.11,3.35,4.01,4.19,3.84,3.62
Kab.Solok,5.44,5.31,5.32,5.19,5.04,-1.14,3.28,4.28,4.36,3.91,3.01
Sijunjung,5.69,5.26,5.26,5.07,4.81,-1.1,3.14,3.93,4.26,3.89,3.26
Tanah Datar,5.33,5.03,5.11,5.04,4.99,-1.12,3.27,4.16,4.44,3.85,2.66
Padang Pariaman,6.14,5.52,5.58,5.44,2.4,-10.46,2.15,6.83,5.46,4.57,1.74
Agam,5.52,5.51,5.51,5.23,4.78,-1.37,3.7,4.21,4.52,4.12,2.99
Lima Puluh Kota,5.61,5.32,5.53,5.23,5.06,-1.16,3.33,4.02,4.55,4.03,3.4
Pasaman,5.34,5.07,5.08,4.97,4.8,-0.87,3.35,4.08,4.41,3.95,3.49
Solok Selatan,5.35,5.14,5.15,5,4.86,-1.24,3.32,4.01,4.57,4.09,3.65
Dharmasraya,5.75,5.42,5.44,5.28,4.94,-1.39,3.4,4.27,4.35,3.86,3.79
Pasaman Barat,5.7,5.34,5.34,5.21,4.45,-1.34,3.71,4.13,4.33,4.08,3.87
Padang,6.41,6.17,6.23,6.06,5.64,-1.86,3.65,4.31,4.54,4.65,3.63
Kota Solok,5.97,5.76,5.76,5.65,5.49,-1.42,3.55,4.6,4.81,4.55,3.61
Sawahlunto,6.03,5.72,5.74,5.5,5.31,-1.27,2.48,3.96,4.46,4.02,3.38
Padang Panjang,5.91,5.8,5.8,5.71,5.56,-1.44,3.46,4.39,4.84,4.52,3.61
Bukittinggi,6.14,6.05,6.08,6,5.84,-1.74,3.61,4.67,4.79,4.52,3.51
Payakumbuh,6.19,6.08,6.12,6.02,5.89,-1.65,3.58,4.51,4.7,4.53,3.55
Pariaman,5.79,5.59,5.61,5.47,5.3,-1.32,3.51,4.53,4.79,4.51,3.46
,,,,,,,,,,,
Catatan,2024 Angka Sangat Sementara </br>,2025 Angka Sangat-Sangat Sementara,,,,,,,,,
