Wilayah,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Sumatera Barat (Persen),,,,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SUMATERA BARAT (Provinsi),7.31,7.09,6.87,6.65,6.42,6.28,6.63,5.92,5.95,5.97,5.35
Kepulauan Mentawai,15.52,15.12,14.67,14.44,14.43,14.35,14.84,13.97,13.72,13.89,13.22
Pesisir Selatan,8.46,7.92,7.79,7.59,7.88,7.61,7.92,7.11,7.34,7.49,6.52
Kab.Solok,10,9.32,9.06,8.88,7.98,7.81,8.01,7.12,7.13,7.31,6.52
Sijunjung,7.87,7.6,7.35,7.11,7.04,6.78,6.8,6,5.88,5.78,5.15
Tanah Datar,5.82,5.68,5.56,5.32,4.66,4.4,4.54,4.26,4.16,4.28,3.59
Padang Pariaman,8.86,8.91,8.46,8.04,7.1,6.95,7.22,6.25,6.34,6.27,5.86
Agam,7.58,7.83,7.59,6.76,6.75,6.75,6.85,6.22,6.6,6.83,5.97
Lima Puluh Kota,7.65,7.59,7.15,6.99,6.97,6.86,7.29,6.59,6.8,6.92,6.1
Pasaman,8.14,7.65,7.41,7.31,7.21,7.16,7.48,6.85,6.8,6.74,6.02
Solok Selatan,7.52,7.35,7.21,7.07,7.33,7.15,7.52,6.51,6.45,6.56,6
Dharmasraya,7.17,7.16,6.68,6.42,6.29,6.23,6.67,5.56,5.56,5.32,4.61
Pasaman Barat,7.93,7.4,7.26,7.34,7.14,7.04,7.51,6.93,6.92,7,6.3
Padang,4.93,4.68,4.74,4.7,4.48,4.4,4.94,4.26,4.17,4.06,3.63
Kota Solok,4.12,3.86,3.66,3.3,3.24,2.77,3.12,3.02,3.05,3.07,2.91
Sawahlunto,2.22,2.21,2.01,2.39,2.17,2.16,2.38,2.28,2.27,2.33,2.72
Padang Panjang,6.74,6.75,6.17,5.88,5.6,5.24,5.92,5.14,5.24,5.31,4.97
Bukittinggi,5.36,5.48,5.35,4.92,4.6,4.54,5.14,4.46,4.11,4.08,3.78
Payakumbuh,6.67,6.46,5.88,5.77,5.68,5.65,6.16,5.66,5.44,5.19,4.95
Pariaman,5.42,5.23,5.2,5.03,4.76,4.1,4.38,4.13,4.2,4.26,3.83
,,,,,,,,,,,
Catatan,"Tahun 2000 s.d 2004 tanda - berarti Kab/Kota tergabung dengan Kab/Kota sebelum pemekaran. Mulai 2007 penghitungan Kemiskinan per Juli sebelumnya Maret, 2011-2014 penghitungan September, 2015 s.d Sekarang Kondisi Maret "," Sumber: BPS, Survei Sosial Ekonomi Nasional, ",,,,,,,,,
