Kabupaten/Kota,[Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat (Tahun),,,,,,[Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota di Provinsi Sumatera Barat (Tahun),,,,,,,,,
,2020,2021,2022,2023,2024,2025,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Kab. Kepulauan Mentawai,70.73,70.73,70.91,71.06,71.21,71.4,64.05,64.36,64.37,64.49,64.68,64.73,64.73,64.93,65.1,65.27
Kab. Pesisir Selatan,73.02,73.12,73.2,73.27,73.44,73.68,69.96,70.11,70.23,70.45,70.73,70.86,70.96,71.25,71.52,71.59
Kab. Solok,71.51,71.72,72.12,72.31,72.52,72.82,67.35,67.5,67.65,67.95,68.34,68.58,68.79,69.19,69.56,69.8
Kab. Sijunjung,71.78,71.93,72.27,72.59,72.89,73.3,65.22,65.33,65.44,65.69,66.02,66.21,66.36,66.7,67.02,67.32
Kab. Tanah Datar,73.5,73.69,73.84,74.19,74.26,74.35,68.75,68.93,69.11,69.38,69.73,69.94,70.12,70.49,70.84,70.96
Kab. Padang Pariaman,73.48,73.58,73.67,73.77,73.88,74.04,67.64,67.8,67.96,68.23,68.58,68.79,68.97,69.34,69.7,70.1
Kab. Agam,73.79,73.91,74.07,74.22,74.39,74.63,71.3,71.44,71.57,71.83,72.17,72.37,72.53,72.89,73.23,73.47
Kab. Lima Puluh Kota,72.74,72.79,73.03,73.25,73.42,73.64,69.23,69.27,69.31,69.47,69.7,69.79,69.84,70.08,70.3,70.46
Kab. Pasaman,71.15,71.34,71.71,72.04,72.36,72.76,66.26,66.4,66.54,66.82,67.18,67.4,67.59,67.96,68.29,68.61
Kab. Solok Selatan,71.32,71.52,71.89,72.22,72.5,72.77,66.64,66.78,66.92,67.21,67.58,67.81,68.01,68.38,68.71,68.99
Kab. Dharmasraya,73.04,73.47,73.84,74.04,74.25,74.34,70.16,70.3,70.44,70.73,71.1,71.33,71.53,71.9,72.24,72.6
Kab. Pasaman Barat,71.71,71.83,72.14,72.44,72.75,73.17,67.03,67.09,67.15,67.37,67.67,67.82,67.94,68.25,68.53,68.81
Kota Padang,74.43,74.47,74.71,74.94,75.2,75.59,73.19,73.19,73.2,73.35,73.57,73.65,73.69,73.93,74.16,74.42
Kota Solok,73.86,73.98,74.31,74.56,74.85,75.3,72.74,72.83,72.92,73.14,73.45,73.61,73.73,74.06,74.39,74.73
Kota Sawahlunto,72.81,73.2,73.5,73.79,74.12,74.21,69.27,69.33,69.39,69.59,69.87,70,70.1,70.4,70.69,70.92
Kota Padang Panjang,73.83,73.93,74.03,74.24,74.48,74.86,72.45,72.45,72.46,72.58,72.77,72.82,72.82,73.02,73.23,73.61
Kota Bukittinggi,74.58,74.7,75.02,75.33,75.62,76.06,73.52,73.6,73.69,73.91,74.22,74.38,74.5,74.82,75.13,75.42
Kota Payakumbuh,74.08,74.18,74.48,74.77,75.08,75.54,72.93,73.03,73.13,73.33,73.61,73.74,73.84,74.14,74.43,74.77
Kota Pariaman,73.59,73.69,73.98,74.2,74.37,74.62,69.59,69.63,69.67,69.87,70.15,70.28,70.38,70.67,70.95,71.17
Provinsi Sumatera Barat,73.5,73.6,73.88,74.14,74.37,74.69,68.66,68.73,68.78,69.01,69.31,69.47,69.59,69.9,70.19,70.33
,,,,,,,,,,,,,,,,
Catatan,Hasil Hasil Long Form SP2020 (LF SP2020),,,,,,Umur Harapan Hidup dari hasil Proyeksi SP2010,,,,,,,,,
